File Path,Last Line
h100c101,1742.0715237187658 0
h100c102,494.2470087160181 0
h100c103,483.1370033961433 0
h100c104,484.3581938048749 0
h100c105,1523.0161043553665 0
h100c106,1299.9550915384348 0
h100c107,1807.7512898180976 0
h100c108,1435.5999494500234 0
h100c109,1040.0534747900438 0
h100c201,1243.6924851340207 0
h100c202,532.5955416927452 0
h100c203,508.80017323126424 0
h100c204,536.6689671509879 0
h100c205,1028.4316259741342 0
h100c206,983.206522361623 0
h100c207,1301.3914998875066 0
h100c208,1058.3773798424763 0
h100r101,2127.259826842981 0
h100r102,819.0501861208677 0
h100r103,531.599340228805 0
h100r104,532.858539095513 0
h100r105,2081.6001240685437 0
h100r106,685.8272956302326 0
h100r107,530.5094283312997 0
h100r108,527.7164314918265 0
h100r109,1488.6719320035807 0
h100r110,1285.6323816468516 0
h100r111,1204.656831268164 0
h100r112,712.3971130279331 0
h100r201,1532.776565336527 0
h100r202,699.5229113454802 0
h100r203,531.0577072575243 0
h100r204,547.5503694338445 0
h100r205,941.0361342710697 0
h100r206,690.2957989165355 0
h100r207,558.4192332134033 0
h100r208,535.7318403673579 0
h100r209,928.6255440360545 0
h100r210,930.7073383544717 0
h100r211,798.3324418121496 0
h100rc101,2272.1093629778006 0
h100rc102,638.6833331728274 0
h100rc103,644.8128534936369 0
h100rc104,640.9552616085567 0
h100rc105,1495.6267430045418 0
h100rc106,1411.0797259591104 0
h100rc107,1148.381972895523 0
h100rc108,1186.9724353711108 0
h100rc201,2142.3609528410584 0
h100rc202,647.3474558038986 0
h100rc203,650.2677478702501 0
h100rc204,653.7258429735626 0
h100rc205,1508.459850495044 0
h100rc206,1303.4821083760141 0
h100rc207,1246.1796170123564 0
h100rc208,1004.8164696144958 0
