c1_2_1

VEHICLE
NUMBER     CAPACITY    DRONE-CAPACITY    DRONE-ENDURANCE    
  5          200          60                 30

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  DRONE SERVED
 
    0      70         70          0          0       1351          0              0
    1      33         78         20        750        809         90              1
    2      59         52         20        553        602         90              1
    3      10        137         30        147        219         90              0
    4       4         28         10        616        661         90              1
    5      25         26         20        128        179         90              0
    6      86         37         10        478        531         90              1        
    7       1        109         10        616        680         90              0
    8       6        135         40        351        386         90              1
    9      32         79         20        655        721         90              1
   10      24         26         20        219        271         90              1
   11      86         36         20        384        443         90              0
   12      95         35         10        196        252         90              0
   13      63         50         10        364        416         90              0
   14     100        106         10        567        626         90              1
   15      99        112         20        846        911         90              0
  
