File Path,Last Line
h100c101,1818.4216410944543 0
h100c102,493.27666654343096 0
h100c103,481.60725319510806 0
h100c104,492.9613963188176 0
h100c105,1410.220453177395 0
h100c106,1423.1991727840802 0
h100c107,1633.8434924102544 0
h100c108,1495.2968231287061 0
h100c109,1106.6846448732304 0
h100c201,1310.871977493287 0
h100c202,521.4617705786753 0
h100c203,524.5151920176569 0
h100c204,513.5269860877307 0
h100c205,936.6899138625433 0
h100c206,1284.6625933973182 0
h100c207,1100.248966301449 0
h100c208,912.3973253648489 0
h100r101,2229.936288743788 0
h100r102,792.2594238372691 0
h100r103,538.7400070168133 0
h100r104,526.3952689365174 0
h100r105,1864.159257045016 0
h100r106,791.2401054263049 0
h100r107,540.6727048349977 0
h100r108,531.6295931309552 0
h100r109,1639.5769589794538 0
h100r110,1494.6875882678678 0
h100r111,1104.7673469351787 0
h100r112,687.2555931353695 0
h100r201,1472.2098713624039 0
h100r202,703.2151875730644 0
h100r203,534.6762695013225 0
h100r204,549.9046812721668 0
h100r205,1138.6610083037751 0
h100r206,689.7537876479391 0
h100r207,525.1984441518393 0
h100r208,549.8508219373967 0
h100r209,954.2858033853736 0
h100r210,900.1941254464585 0
h100r211,793.5894461458448 0
h100rc101,2315.677197654047 0
h100rc102,631.0007655133097 0
h100rc103,640.2581172139026 0
h100rc104,638.1739769153008 0
h100rc105,1771.4831141203865 0
h100rc106,1810.232429547876 0
h100rc107,1248.6139195347996 0
h100rc108,1063.7598305720016 0
h100rc201,2031.108097332669 0
h100rc202,649.5840530822553 0
h100rc203,654.5215632415753 0
h100rc204,653.6610944547896 0
h100rc205,1695.6379807888018 0
h100rc206,1571.3472151597105 0
h100rc207,1260.633647185657 0
h100rc208,1041.5913824630927 0
