Generation 0: [1241.4230898725268, 18]
Generation 1: [1241.4230898725268, 18]
Generation 2: [1241.4230898725268, 18]
Generation 3: [1241.4230898725268, 18]
Generation 4: [1241.4230898725268, 18]
Generation 5: [1241.4230898725268, 18]
Generation 6: [1241.4230898725268, 18]
Generation 7: [1241.4230898725268, 18]
Generation 8: [1241.4230898725268, 18]
Generation 9: [1241.4230898725268, 18]
Generation 10: [1241.4230898725268, 18]
Generation 11: [1241.4230898725268, 18]
Generation 12: [1241.4230898725268, 18]
Generation 13: [1241.4230898725268, 18]
Generation 14: [1241.4230898725268, 18]
Generation 15: [1241.4230898725268, 18]
Generation 16: [1241.4230898725268, 18]
Generation 17: [1241.4230898725268, 18]
Generation 18: [1241.4230898725268, 18]
